service_type,city,address,price,description,payment_range

Продажа,Панфилово (Табаксовхоз),1я новая,6000000,Участок 6 соток,Не указано

Продажа,Алматы,Розыбакиева-Ескараева,80400000,"2-комн. квартира, 89.3 м²",Не указано

Продажа,Астана,Мангилик Ел-Т. Рыскулова,26800000,"2-комн. квартира, 46.8 м²",Не указано

Продажа,Алматы,Абая,66800000,"2-комн. квартира, 83.5 м²",Не указано

Продажа,Актобе,Шыгыс,800000,Участок 10 соток,Не указано

Продажа,Алматы,Навои,50000000,"2-комн. квартира, 64.9 м²",Не указано

Продажа,Атырау,"мкр Атырау, Абулхайыр хана",23500000,"1-комн. квартира, 44 м², 2/10 этаж",Не указано

Аренда,Астана,Кабанбай батыр Мега,10000,"1-комн. квартира, 35 м²",Посуточно

Аренда,Астана,Мәңгілік Ел-Керей Жанибек хандар,2000,"1-комн. квартира, 40 м², 6/14 этаж",По часам

Аренда,Астана,Нажимеденов,990000,Магазины и бутики • 165 м²,Не указано

Аренда,Астана,Момышулы,8000,"1-комн. квартира, 22 м², 2/24 этаж",Посуточно

Аренда,Алматы,мкр Жетысу-2,380000,"1-комн. квартира, 50 м², 2/6 этаж",Помесячно

Аренда,Тараз,3 микрорайон,7000,"1-комн. квартира, 33 м², 4/5 этаж",Посуточно

Аренда,Алматы,Казыбек би-Байтурсынова,15000,"1-комн. квартира, 20 м², 9/9 этаж",Посуточно

Продажа,Тараз,Железнодорожная-Ыклас Дакенулы(почтовая),23000000,Отдельный дом • 6 комнат • 147 м² • 9.5 сот.,Не указано

Аренда,Шымкент,Мамытова-Акация. ЮгСити.,3500,"7 комнат, 300 м²",Не указано

Продажа,Актобе,Қыран,37700000,Отдельный дом • 5 комнат • 360 м² • 10 сот.,Не указано

Аренда,Караганда,мкр Юго-Восток,15000,"1-комн. квартира, 40 м², 15/20 этаж",Посуточно

Продажа,Алматы,Артиллерийская34-Жарылгасова,63000000,Отдельный дом • 4 комнаты • 135 м² • 1 сот.,Не указано

Аренда,Алматы,Тажибаевой,23000,"1-комн. квартира, 40 м², 2/12 этаж",Посуточно

Продажа,Астана,Е 915,18700000,"2-комн. квартира, 44.95 м²",Не указано

Аренда,Астана,Бектурова,8000,"1-комн. квартира, 23 м², 2/18 этаж",Посуточно

Аренда,Алматы,Толе би-Отеген батыра,15000,"2-комн. квартира, 47 м², 2/10 этаж",Посуточно

Продажа,Шымкент,мкр Кайтпас 2,24000000,Отдельный дом • 3 комнаты • 50 м² • 8 сот.,Не указано

Продажа,Астана,Ильяса Жансугурова,19500000,"1-комн. квартира, 40.5 м², 3/9 этаж",Не указано

Аренда,Алматы,мкр Жетысу-4,13000,"1-комн. квартира, 20 м², 6/9 этаж",Посуточно

Продажа,Алматы,​Герольда Бельгера,54000000,"3-комн. квартира, 83 м²",Не указано

Аренда,Астана,Аблайхана,11000,"1-комн. квартира, 36 м², 6/10 этаж",Посуточно

Продажа,Семей,Сатпаева-4-загородняя,14500000,Часть дома • 3 комнаты • 75 м² • 4 сот.,Не указано

Продажа,Алматы,Ходжанова,63000000,"2-комн. квартира, 78 м², 14/20 этаж",Не указано

Продажа,Астана,Ермек серкебаев,23900000,"2-комн. квартира, 54 м², 4/12 этаж",Не указано

Аренда,Алматы,Абая-Брусиловского,18000,"1-комн. квартира, 60 м², 12 этаж",Посуточно

Аренда,Астана,Тоқпанов,17000,"2-комн. квартира, 55 м², 7/9 этаж",Посуточно

Аренда,Атырау,"мкр Нурсая, Елорда 6-Бином, НИШ",14000,"1-комн. квартира, 46 м², 3/9 этаж",Посуточно

Аренда,Алматы,Назарбаева,22000,"1-комн. квартира, 55 м², 2 этаж",Посуточно

Продажа,Шымкент,алимбетова,49500000,"4-комн. квартира, 144 м², 1/5 этаж",Не указано

Продажа,Астана,Толе би,51400000,"2-комн. квартира, 78.05 м²",Не указано

Продажа,3 фот,"Карасай, Алатау-Ұмтыл ауылдык округы, Көлді ауылы. Алатау көшесі 62үй",20000000,Отдельный дом • 4 комнаты • 100 м² • 6 сот.,Не указано

Продажа,Кызылорда,Нұр Орда,12000000,"2-комн. квартира, 58 м², 5/5 этаж",Не указано

Продажа,Алматы,"мкр Аксай-4, Мкр. Аксай-4-Саина Жубанова",40000000,"1-комн. квартира, 50 м², 8/10 этаж",Не указано

Аренда,Костанай,Мирошниченко,7500,"1-комн. квартира, 40 м², 2/5 этаж",Посуточно

Аренда,Алматы,"мкр Думан-2, Мкрн Думан-2",300000,"2-комн. квартира, 59 м², 3/9 этаж",Помесячно

Аренда,Актау,"17-й мкр, 17 мкр",13000,"2-комн. квартира, 72 м², 8/20 этаж",Посуточно

Продажа,Астана,Туран,22000000,"2-комн. квартира, 41.1 м², 3/8 этаж",Не указано

Аренда,Петропавловск,Бостандыкская улица,17900,"2-комн. квартира, 45 м², 1/5 этаж",Посуточно

Продажа,Караганда,"мкр Новый Город, мкр Новый Город, Ерубаева-Акимат Карагандинской области, Дворец детей и юношества",10500000,"1-комн. квартира, 32 м², 4/5 этаж",Не указано

Продажа,Астана,Туран-Хан Шатыр,26900000,"1-комн. квартира, 45 м², 10/22 этаж",Не указано

Аренда,Алматы,Манаса-Бухар Жырау,12000,"1-комн. квартира, 30 м², 2/3 этаж",Посуточно

Аренда,Шымкент,Байтурсынова дом15,250000,"4-комн. квартира, 100 м², 5/5 этаж",Помесячно

Аренда,Алматы,Мустай Карим-Жандосова,10000,"1-комн. квартира, 55 м², 3/10 этаж",Посуточно

Продажа,Астана,Айтматова,16500000,"2-комн. квартира, 34.5 м², 3/9 этаж",Не указано

Аренда,Караганда,"мкр Юго-Восток, Республики",15000,"2-комн. квартира, 70 м², 15/17 этаж",Посуточно

Аренда,Атырау,мкр. Алмагуль,10000,"1-комн. квартира, 60 м², 12/16 этаж",Посуточно

Продажа,Шахан,Кв-л 11/17,5000000,"3-комн. квартира, 43.7 м², 4/5 этаж",Не указано

Продажа,Астана,Туран,26500000,"1-комн. квартира, 44.2 м²",Не указано

Аренда,Караганда,проспект Бухар жырау,10000,"1-комн. квартира, 30 м², 2/5 этаж",Посуточно

Продажа,Шымкент,ул Маншук Маметова-ул. Тимирязева,21000000,Часть дома • 4 комнаты • 125 м² • 2 сот.,Не указано

Продажа,Астана,Акмешит,100000000,"3-комн. квартира, 136 м², 3/6 этаж",Не указано

Продажа,Алматы,Брусиловского-Шакарима,45000000,"3-комн. квартира, 53.6 м², 18/19 этаж",Не указано

Продажа,Алматы,"мкр Кайрат, Сыбызгы",13000000,"1-комн. квартира, 37.08 м²",Не указано

Продажа,Астана,Казыбек Би-Е22,42000000,"3-комн. квартира, 62 м², 2/9 этаж",Не указано

Продажа,Шымкент,Самал-2,49600000,"2-комн. квартира, 81.6 м²",Не указано

Продажа,Алматы,Дарабоз,25900000,"1-комн. квартира, 45 м², 3/12 этаж",Не указано

Продажа,Алматы,мкр Жетысу-3,63000000,"3-комн. квартира, 123.3 м², 7/11 этаж",Не указано

Аренда,Алматы,"мкр Горный Гигант, Жамакаева-Жамакаева",130000,"1 комната, 20 м²",Не указано

Продажа,Алматы,Абылайхана,9000000,"1-комн. квартира, 23 м², 2/4 этаж",Не указано

Аренда,Шымкент,"мкр Нурсат, Назарбекова-Шаяхметов",14000,"1-комн. квартира, 40 м²",Посуточно

Аренда,Алматы,Навои-Жандосова,24990,"3-комн. квартира, 115 м², 9 этаж",Посуточно

Продажа,Астана,Сыганак-самое выгодное предложение,45000000,"3-комн. квартира, 91 м², 3 этаж",Не указано

Продажа,Алматы,"мкр Кайрат, ​24-я улица",23500000,"2-комн. квартира, 68 м², 7/9 этаж",Не указано

Продажа,Косшы,"Лесная поляна-Срочно, торг",9000000,"1-комн. квартира, 31 м², 2/5 этаж",Не указано

Аренда,Павлодар,Малайсары батыра-Магазин светофор,252000,Офисы • 180 м²,Не указано

Продажа,Бирлик,,11500000,Участок 12.3 сотк,Не указано

Продажа,Астана,Роза Багланова,22900000,"2-комн. квартира, 59.51 м²",Не указано

Продажа,Актобе,Жанағасыр-70 средняя школа рядом,70000000,Отдельный дом • 7 комнат • 340 м² • 20 сот.,Не указано

Продажа,Астана,Туран,23000000,"2-комн. квартира, 56.22 м²",Не указано

Продажа,Талгар,БОКИНА-РЯДОМ ЦОН НАЛОГОВОЯ БАЗАР,26000000,"4-комн. квартира, 77 м², 2/4 этаж",Не указано

Продажа,Алматы,Бурундайская,18200000,"1-комн. квартира, 43.78 м²",Не указано

Продажа,Алматы,Брусиловского-Плач,2500000,Паркинг • 18 м²,Не указано

service_type,city,address,price,description,payment_range

Продажа,Бескайнар (Горный Садовод),Котырбулак Новая,380000000,Отдельный дом • 8 комнат • 765 м² • 40 сот.,Не указано

Продажа,Нура,,5500000,Участок 10 сото,Не указано

Продажа,Алматы,Кабанбай батыра,47100000,"2-комн. квартира, 67.3 м²",Не указано

Аренда,Астана,С.Рахимова-Ул.Жангелдина,70000,Магазины и бутики • 9 м²,Не указано

Продажа,Алматы,"мкр Коктобе, Сагадат Нурмагамбетова",138900000,"3-комн. квартира, 98.31 м²",Не указано

Продажа,Астана,Бокейхана,49800000,"3-комн. квартира, 92.82 м², 8/14 этаж",Не указано

Аренда,Атырау,"мкр Центральный, Канцева",200000,"1-комн. квартира, 35 м², 4/6 этаж",Помесячно

Продажа,Астана,Е 601,17000000,"2-комн. квартира, 50 м², 2/3 этаж",Не указано

Продажа,Актау,28А мкр,8500000,"1-комн. квартира, 38.2 м², 1/5 этаж",Не указано

Продажа,Астана,Кенесары-Валиханова,20500000,"2-комн. квартира, 52.9 м², 5/5 этаж",Не указано

Аренда,Алматы,Сатпаева,40000,"3-комн. квартира, 101 м², 2/16 этаж",Посуточно

Аренда,Шымкент,"мкр Туран , Туран-Проспект Байдибек Би",700000,7-комнатный дом,Помесячно

Аренда,Астана,Алтыбакан-Бауыржан момышулы,150000,"1-комн. квартира, 27 м², 12/12 этаж",Помесячно

Аренда,Алматы,Тимирязева-Маркова,42000,"1 комната, 18 м²",Не указано

Аренда,Атырау,Ватутина-Парка и центральной арки на пляж,100000,"2-комн. квартира, 59 м², 2/2 этаж",Помесячно

Аренда,Шымкент,Байтурсынова,600000,Офисы • 150 м²,Не указано

Продажа,Астана,Мангилик Ел-Т. Рыскулова,55000000,"3-комн. квартира, 109.7 м²",Не указано

Продажа,Астана,Е778,14000000,"1-комн. квартира, 36.85 м²",Не указано

Аренда,Алматы,А.Шарипова-Жамбыла,14990,"1-комн. квартира, 48 м², 3/12 этаж",Посуточно

Аренда,Алматы,"мкр Коктем-1, Тимирязова-Маркова",3000,"1 комната, 16 м²",Не указано

Продажа,Коксай (Путь Ильича),Устирт,12800000,"1-комн. квартира, 34.5 м²",Не указано

Аренда,Бесагаш,Макатев,450000,4-комнатный дом,Помесячно

Аренда,Астана,Кайыма Мухамедханова-Анет баба,100000,"Офисы, кабинеты и рабочие места • 10 м²",Не указано

Продажа,Алматы,Касыма Шарипова-улица Шугыла,23500000,"2-комн. квартира, 43.4 м², 1/7 этаж",Не указано

Продажа,Семей,Кашаубаева,25000000,"3-комн. квартира, 64.3 м², 2/10 этаж",Не указано

Аренда,Актау,"17-й мкр, 17 микрорайон",16000,"2-комн. квартира, 49 м², 6/17 этаж",Посуточно

Аренда,Атырау,Авангард-4 мкр,10000,"2-комн. квартира, 54 м², 2/5 этаж",Посуточно

Продажа,Астана,Абикена Бектурова,25200000,"3-комн. квартира, 62.85 м²",Не указано

Аренда,Алматы,мкр Орбита-3,14500,"1-комн. квартира, 40 м², 12/12 этаж",Посуточно

Аренда,Астана,Улы Дала-Сауран,220000,"2-комн. квартира, 43 м², 4/8 этаж",Помесячно

Аренда,Алматы,мкр №5,10000,"1-комн. квартира, 20 м², 4 этаж",Посуточно

Аренда,Алматы,мкр Аккент,13000,"1-комн. квартира, 39.5 м², 7 этаж",Посуточно

Продажа,Астана,Амман,35000000,"1-комн. квартира, 41.6 м²",Не указано

Аренда,Шымкент,Туркестанская-Байтурсынова,15000,"1-комн. квартира, 35 м², 3/5 этаж",Посуточно

Аренда,Алматы,Макатаева,12000,"2-комн. квартира, 50 м², 2/13 этаж",Посуточно

Продажа,Астана,Бектурова-пр Туран,29000000,"2-комн. квартира, 64 м², 22/22 этаж",Не указано

Продажа,Астана,Кошкарбаева-Кошкарбаева,44900000,"4-комн. квартира, 122 м², 7/12 этаж",Не указано

Продажа,Астана,Женис,13900000,"2-комн. квартира, 46 м², 4/5 этаж",Не указано

Аренда,Алматы,проспект Сейфуллина-Гоголя,400000,"3-комн. квартира, 55.2 м², 2/5 этаж",Помесячно

Аренда,Астана,Нажимеденова-Нурлы Жол вокзал,10000,"1-комн. квартира, 40 м², 7/9 этаж",Посуточно

Продажа,Алматы,Гагарина,166500000,"4-комн. квартира, 208.1 м²",Не указано

Продажа,Павлодар,Ата-журт-Село Павлодарское,12000000,Отдельный дом • 4 комнаты • 70 м² • 10 сот.,Не указано

Аренда,Атырау,"мкр Нурсая, Таумуш Жумагалиев",13000,"1-комн. квартира, 48 м², 5/9 этаж",Посуточно

Продажа,Алматы,Райымбека,23200000,"2-комн. квартира, 48.43 м²",Не указано

Аренда,Астана,"Бектурова-Хан шатыр ,РДЦ",14900,"2-комн. квартира, 45 м², 5/10 этаж",Посуточно

Аренда,Алматы,"мкр Шугыла, Райымбека-Жуалы",250000,"3-комн. квартира, 70 м², 4/9 этаж",Помесячно

Продажа,Алматы,"мкр Акбулак, Момышулы",15400000,"1-комн. квартира, 39.36 м²",Не указано

Продажа,Атырау,Куттыгай батыра,200000000,"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит • 1000 м²",Не указано

Продажа,Байсерке,Карагай,20000000,Отдельный дом • 3 комнаты • 142 м² • 9 сот.,Не указано

Продажа,Алматы,Оспанова,143400000,"3-комн. квартира, 142 м²",Не указано

Аренда,Талдыкорган,Жансугурова,10000,"2-комн. квартира, 60 м², 4/5 этаж",Посуточно

Продажа,Петропавловск,Назарбаева-ДБ Северный,18800000,"3-комн. квартира, 60 м², 4/5 этаж",Не указано

Продажа,Уральск,"ул. Нурсат-16-Вдоль Самарской трассы, напротив гипермаркета ""Дина""",37000000,Отдельный дом • 5 комнат • 170 м² • 8 сот.,Не указано

Аренда,Астана,Сыганак,10000,"1-комн. квартира, 42 м², 17/22 этаж",Посуточно

Продажа,Астана,Е 796,39000000,"3-комн. квартира, 78.04 м²",Не указано

Аренда,Алматы,Бегалина,3900000,Офисы • 326 м²,Не указано

Продажа,Актобе,Камбар ата,238000000,Отдельный дом • 10 комнат • 496 м² • 10 сот.,Не указано

Продажа,Алматы,мкр Мамыр-4,30500000,"1-комн. квартира, 45 м², 5/9 этаж",Не указано

Аренда,Алматы,Абая-Брусиловского,30000,"3-комн. квартира, 104 м², 1/16 этаж",Посуточно

Аренда,Шымкент,"мкр Нурсат 2, Аргынбекова-Шымкент спа по улице Аргынбекова",13000,"1-комн. квартира, 40 м², 3/9 этаж",Посуточно

Аренда,Алматы,Баишева,20000,"2-комн. квартира, 54 м², 10/12 этаж",Посуточно

Продажа,Семей,"Посмакова-Центр, Цум. район Автомеха",32000000,"2-комн. квартира, 50 м², 2/9 этаж",Не указано

Продажа,Актау,микрорайон 29а,11600000,"2-комн. квартира, 70.2 м²",Не указано

Продажа,Астана,Байтурсынова-BINOM мектебі,51000000,"3-комн. квартира, 115 м², 5/7 этаж",Не указано

Аренда,Кызылорда,Шугыла-Микрорайон Шугыла,10000,"1-комн. квартира, 32 м², 1/5 этаж",Посуточно

Аренда,Астана,Кошкарбаева-Coffee Boom,15000,"1-комн. квартира, 55 м², 10/28 этаж",Посуточно

Аренда,Павлодар,Исы Байзакова-Исиналиева,13000,"1-комн. квартира, 31 м², 5/9 этаж",Посуточно

Продажа,Усть-Каменогорск,КШТ 27 микрорайон-27 микрорайон,23300000,Отдельный дом • 4 комнаты • 100 м² • 15 сот.,Не указано

Аренда,Шымкент,Nursat,21000,"2-комн. квартира, 54 м²",Посуточно

Продажа,Астана,Тауелсиздик,17500000,"1-комн. квартира, 35 м², 7/12 этаж",Не указано

Продажа,Шымкент,Спортивный,23500000,"3-комн. квартира, 60 м², 5/5 этаж",Не указано

Аренда,Усть-Каменогорск,Казахстан-Ориентировочно центральный площадь,12000,"2-комн. квартира, 64 м², 9/12 этаж",Посуточно

Аренда,Алматы,Назарбаева-Аль-Фараби,600000,"2-комн. квартира, 62 м², 19/19 этаж",Помесячно

Аренда,Алматы,Бегалина,720000,Офисы • 60 м²,Не указано

Аренда,Алматы,"мкр Калкаман-1, Калкаман-1 мкр",12000,"1-комн. квартира, 25 м², 4/12 этаж",Посуточно

Продажа,Алматы,"мкр Курамыс, Сейдимбек",35000000,"1-комн. квартира, 39 м², 2/3 этаж",Не указано

Продажа,Косшы,Лесная поляна,18000000,"3-комн. квартира, 60 м²",Не указано

Продажа,Алматы,Шафика Чокина-Ташкентская Байзакова,29000000,Отдельный дом • 3 комнаты • 82 м² • 1.8 сот.,Не указано

Аренда,Астана,Анет баба-Мухаммедханова,14000,"1-комн. квартира, 48 м², 12/24 этаж",Посуточно

Продажа,Алматы,Утеген батыра-Grand Park,53500000,"3-комн. квартира, 89.3 м², 16/18 этаж",Не указано

Аренда,Алматы,Мустай Карима-Саина Жандосова ( трц Алматы молл ),10000,"1-комн. квартира, 50 м², 10/11 этаж",Посуточно

Продажа,Туздыбастау (Калинино),Дастур,980000000,Отдельный дом • 8 комнат • 400 м² • 5 сот.,Не указано

Продажа,Астана,Аль-Фараби,61700000,"3-комн. квартира, 115.52 м²",Не указано

Аренда,Алматы,Достык-Рядом с гостиницей Казахстан,18000,"1-комн. квартира, 45 м², 14/15 этаж",Посуточно

Продажа,Кыргауылды,Акжар 7а-Акжар,6000000,Участок 30 соток,Не указано

Аренда,Астана,Калдаяков-Тауелсыздык,260000,"2-комн. квартира, 90 м², 3/22 этаж",Помесячно

Продажа,Астана,Бектурова,55800000,"3-комн. квартира, 86 м², 7/12 этаж",Не указано

Продажа,Каскелен,,18000000,Участок 20 сото,Не указано

Аренда,Кокшетау,"Ш.Уалихaнова-ВТК,Спорт.Бурабай,Смолл",10000,"1-комн. квартира, 42 м², 1/9 этаж",Посуточно

Продажа,Семей,Уранхаева,38000000,"5-комн. квартира, 124 м², 8/9 этаж",Не указано

Аренда,Алматы,Райымбека,250000,"2-комн. квартира, 41 м², 1/12 этаж",Помесячно

Аренда,Астана,Мангилик Ел,350000,"3-комн. квартира, 94 м², 7 этаж",Помесячно

Продажа,Алматы,Оспанова,77200000,"2-комн. квартира, 83.9 м²",Не указано

Аренда,Астана,"Улы Дала-Экспо , Барыс арена",26900,"3-комн. квартира, 90 м², 8 этаж",Посуточно

Продажа,Алматы,"мкр АДК, Мкр Курлысшы-Моцарта Братская",50000000,Отдельный дом • 4 комнаты • 150 м² • 3.3 сот.,Не указано

Аренда,Алматы,Толе би-Толе би Ауэзова,22000,"3-комн. квартира, 17 м², 17/17 этаж",Посуточно

Продажа,7 фот,Алмалык,15000000,Участок 10 соток,Не указано

Аренда,Костанай,Толстого-Каирбекова-Толстого,15000,"2-комн. квартира, 60 м², 6/9 этаж",Посуточно

Продажа,Астана,Улица Е-36 ул,21500000,"2-комн. квартира, 42.57 м², 17/18 этаж",Не указано

Продажа,Алматы,Ауэзова-Гоголя,49000000,"3-комн. квартира, 81 м²",Не указано

Продажа,Астана,Абикена Бектурова,21000000,"2-комн. квартира, 41.41 м²",Не указано

Аренда,Алматы,Панфилова,15000,"2-комн. квартира, 50 м², 3/4 этаж",Посуточно

Продажа,Конаев (Капчагай),"Абая-Не далеко от площади, Акимат рядом, ЦОН, базар, садик, школа в пешей доступности",16000000,"2-комн. квартира, 43 м², 4/4 этаж",Не указано

Продажа,Алматы,Ауэзова,33500000,"2-комн. квартира, 52.3 м²",Не указано

Аренда,Алматы,Егизбаева,300000,"2-комн. квартира, 55 м², 12/13 этаж",Помесячно

Аренда,Павлодар,Назарбаева-Жаяу Мусы,10000,"1-комн. квартира, 42 м², 9/9 этаж",Посуточно

Аренда,Атырау,"мкр Нурсая, Нурсая",14000,"2-комн. квартира, 68 м², 1/6 этаж",Посуточно

Аренда,Алматы,мкр Казахфильм,300000,"2-комн. квартира, 56 м², 3/5 этаж",Помесячно

Аренда,Астана,Мангилик Ел,10000,"1-комн. квартира, 42 м², 7/10 этаж",Посуточно

Продажа,Алматы,Аль-Фараби,85600000,"2-комн. квартира, 90.1 м²",Не указано

Продажа,Алматы,Жунисова-Aport Mall,27000000,"2-комн. квартира, 49.1 м², 3/6 этаж",Не указано

Продажа,Астана,Анет баба,25100000,"2-комн. квартира, 53.29 м²",Не указано

Продажа,Тараз,Аппасова,15000000,Отдельный дом • 4 комнаты • 100 м² • 6 сот.,Не указано

Продажа,8 фот,,30000000,Участок 5 г,Не указано

Аренда,Астана,"мкр Комсомольский, Комсомольский мкр-Коргалбжинское шоссе",150000,"1-комн. квартира, 40 м², 10/10 этаж",Помесячно

Аренда,Алматы,Жандосова-Алтынсарина,13000,"1-комн. квартира, 58 м², 13/17 этаж",Посуточно

Аренда,Алматы,"мкр Таугуль, Таугуль-Джандосова — Берегового",300000,"3-комн. квартира, 70 м², 1/5 этаж",Помесячно

Аренда,Уральск,мкр Кунаева,9000,"1-комн. квартира, 41 м², 2/9 этаж",Посуточно

Продажа,Астана,Нажмеденова,17500000,"1-комн. квартира, 40 м², 9/17 этаж",Не указано

Аренда,Актау,32В мкр,6000,"1-комн. квартира, 40 м², 1/6 этаж",Посуточно

Аренда,Шымкент,Бейбитшилик-Арбат,8500,"1-комн. квартира, 30 м², 4/4 этаж",Посуточно

Аренда,Алматы,Станкевича-Шолохова,13000,"1-комн. квартира, 31 м², 2/3 этаж",Посуточно

Продажа,Астана,Толе би,69400000,"3-комн. квартира, 109.59 м²",Не указано

Продажа,Экибастуз,Ауэзова,14900000,"1-комн. квартира, 49.64 м²",Не указано

Аренда,Астана,Акмешит-Керей-Жанибек Акмешит,150000,"2-комн. квартира, 60 м², 4 этаж",Помесячно

Продажа,Астана,Казыбек Би,15000000,"1-комн. квартира, 36.03 м²",Не указано

Аренда,Уральск,Назарбаева,17000,"1-комн. квартира, 40 м², 2/9 этаж",Посуточно

Продажа,Жезказган,5 район,360000000,Промбаза 1 га,Не указано

Продажа,Косшы,Лесная поляна,13500000,"2-комн. квартира, 60 м², 5/5 этаж",Не указано

Аренда,Актобе,"мкр. Алтын орда, Батыс 2 мкр-Квартира находится возле Апорта и анаға тағзым есть рядом",16000,"2-комн. квартира, 80 м², 1/5 этаж",Посуточно

Продажа,Алматы,Макатаева,39300000,"2-комн. квартира, 65.02 м²",Не указано

Аренда,Алматы,А.Шарипова,2500,"1-комн. квартира, 42 м², 7/12 этаж",По часам

Продажа,Экибастуз,Абая,17500000,"2-комн. квартира, 51.3 м², 5/9 этаж",Не указано

Продажа,Астана,Ш.Калдаякова-А78,25000000,"2-комн. квартира, 71 м², 15/17 этаж",Не указано

Продажа,Усть-Каменогорск,Славского,95000000,"5-комн. квартира, 140 м², 9/9 этаж",Не указано

Аренда,Атырау,мкр Нурсая,13000,"1-комн. квартира, 40 м², 4/5 этаж",Посуточно

Продажа,Алматы,Сейфуллина-акан серы,19500000,"1-комн. квартира, 30 м², 1/4 этаж",Не указано

Аренда,Алматы,Толе би-Айтиева,12000,"1-комн. квартира, 40 м², 9/9 этаж",Посуточно

Аренда,Талдыкорган,Казахстанская-Курманова,100000,2-комнатный дом,Помесячно

Продажа,Алматы,"ул. Момышулы, севернее ул. Монке би",11800000,"1-комн. квартира, 28.1 м²",Не указано

Аренда,Астана,Сыгынак,170000,"1-комн. квартира, 40 м², 7/16 этаж",Помесячно

Аренда,Кокшетау,"Наурызбай батыра-Жк Аружан, назарбаева / наурызбай батыра",11000,"1-комн. квартира, 45 м²",Посуточно

Продажа,Прибрежное,Бостандыкская,35000000,Отдельный дом • 4 комнаты • 140 м² • 10 сот.,Не указано

Аренда,Алматы,Абая-Брусиловского,18000,"1-комн. квартира, 65 м², 12/17 этаж",Посуточно

Продажа,Алматы,Розыбакиева,62800000,"3-комн. квартира, 84.8 м²",Не указано

Продажа,Астана,Енлік-Кебек,63000000,"Банный комплекс, 198 м²",Не указано

Продажа,Актау,"16-й мкр , 16 мкр ЖК Адал",24000000,"2-комн. квартира, 73.4 м², 5/7 этаж",Не указано

Продажа,Алматы,Жарокова-Си Синхая,112200000,"4-комн. квартира, 140.2 м²",Не указано

Продажа,Ащибулак,Нұрбереке-Қиылыс жоқ,25000000,Отдельный дом • 5 комнат • 182.8 м² • 10 сот.,Не указано

Аренда,Шымкент,Бейбитшилик-Республики,15000,"2-комн. квартира, 60 м², 3/4 этаж",Посуточно

Продажа,Жезказган,Байконурова,110000000,Отдельный дом • 5 комнат • 200 м² • 10 сот.,Не указано

Аренда,Семей,Козбагарова,3000000,Свободное назначение • 494 м²,Не указано

Аренда,Павлодар,Академика сатпаева,8000,"1-комн. квартира, 35 м², 2/5 этаж",Посуточно

Продажа,Темирлановка,Сейткасымов-Садикке жакын,15000000,Отдельный дом • 5 комнат • 120 м² • 10 сот.,Не указано

Аренда,Актау,"17-й мкр, 17 мкрн",15000,"2-комн. квартира, 105 м², 10/14 этаж",Посуточно

